FID,geom,id,descricao,tipo,extensao,fonte,ano_ref,datum_codf,data_criac
vw_RedeDrenagem.fid--16360be6_1884ec8b5dc_-5878,"MULTILINESTRING ((-38.61117865724493 -3.7889058990073465, -38.6119709911992 -3.7886599902377958))",55,Galeria,Drenagem geral,92.116,Seinf,2020,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,2020-11-26
vw_RedeDrenagem.fid--16360be6_1884ec8b5dc_-5877,"MULTILINESTRING ((-38.61569969232989 -3.7874400805073454, -38.615838235055165 -3.7874217125525704))",56,Galeria,Drenagem geral,15.523,Seinf,2020,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,2020-11-26
vw_RedeDrenagem.fid--16360be6_1884ec8b5dc_-5875,"MULTILINESTRING ((-38.615838235055165 -3.7874217125525704, -38.61603045592577 -3.78737409406281))",57,Galeria,Drenagem geral,21.991,Seinf,2020,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,2020-11-26
vw_RedeDrenagem.fid--16360be6_1884ec8b5dc_-5874,"MULTILINESTRING ((-38.61603045592577 -3.78737409406281, -38.616254399432 -3.787282761067048))",58,Galeria,Drenagem geral,26.847,Seinf,2020,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,2020-11-26
vw_RedeDrenagem.fid--16360be6_1884ec8b5dc_-5872,"MULTILINESTRING ((-38.616254399432 -3.787282761067048, -38.61644465863512 -3.7871894254775627))",59,Galeria,Drenagem geral,23.519,Seinf,2020,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,2020-11-26
vw_RedeDrenagem.fid--16360be6_1884ec8b5dc_-5871,"MULTILINESTRING ((-38.61644465863512 -3.7871894254775627, -38.61645858895115 -3.787052282984786))",60,Galeria,Drenagem geral,15.244,Seinf,2020,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,2020-11-26
vw_RedeDrenagem.fid--16360be6_1884ec8b5dc_-5870,"MULTILINESTRING ((-38.61668134055588 -3.787095697156491, -38.6175835998343 -3.786873484969144))",61,Galeria,Drenagem geral,103.189,Seinf,2020,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,2020-11-26
vw_RedeDrenagem.fid--16360be6_1884ec8b5dc_-586f,"MULTILINESTRING ((-38.61668134055588 -3.787095697156491, -38.61651743341988 -3.7870566824069054))",62,Galeria,Drenagem geral,18.711,Seinf,2020,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,2020-11-26
vw_RedeDrenagem.fid--16360be6_1884ec8b5dc_-586e,"MULTILINESTRING ((-38.6028274247384 -3.791707271761298, -38.60262439188542 -3.7916531112705307))",63,Galeria,Drenagem geral,23.334,Seinf,2020,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,2020-11-26
vw_RedeDrenagem.fid--16360be6_1884ec8b5dc_-586d,"MULTILINESTRING ((-38.58579691221423 -3.7001784421582657, -38.58563472667977 -3.6998614515602317))",64,Galeria,Drenagem geral,39.412,Seinf,2020,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,2020-11-26
